_id,name,bID,address,tel,category,mainMn,price,menu,opngTm,rating,rvwCnt,img,tags
1,롸카두들내쉬빌핫치킨,,서울시 강남구 신사동 646-8,02-3447-3456,브런치 / 버거 / 샌드위치,더클래식,7700,"더클래식:7,700원//그랜파:7,900원//수프림씨:8,900원//오리지날 갱스타:6,900원//후라이드치킨 (2조각):5,500원/",11:30 - 21:30,4.7,51,https://mp-seoul-image-production-s3.mangoplate.com/400192/1272653_1570588239901_12322,"버거, 패티, 치킨, 무대, 내쉬"
2,마띠아바자르,,서울시 마포구 도화동 184-10 B1,02-702-0013,칵테일 / 와인,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,18:00 - 02:00,4.4,7,https://mp-seoul-image-production-s3.mangoplate.com/399290/439642_1597548133594_6110,"위스키, 바틀, 공덕, 방문, 칵테일"
3,비전스트롤,,서울시 마포구 망원동 422-32,02-326-1002,카페 / 디저트,에스프레소,"4,500원","에스프레소:4,500원//아메리카노:4,500원//카푸치노:5,000원//카페라떼:5,000원//바닐라라떼:5,500원//",월요일 12:00 - 22:00,4.4,48,https://mp-seoul-image-production-s3.mangoplate.com/1105479_1596164462459216.jpg,"푸딩, 버터, 카페, 비젼스트롤, 커피"
4,오늘의 위로,,서울시 마포구 망원동 467-18,02-322-5203,카페 / 디저트,블루베리파이와아이스크림,"7,000원","블루베리파이와아이스크림:7,000원//까눌레:2,500원//계절과일디저트:변동//",13:00 - 19:00,4.4,42,https://mp-seoul-image-production-s3.mangoplate.com/21015_1496393429425221.jpg,"파이, 애플, 아이스, 게일, 여자"
5,아메노히커피점,,서울시 마포구 동교동 184-12,070-4202-5347,카페 / 디저트,블렌드 커피,5000,"블렌드 커피:5,000원//커피플로트:6,500원//호지차:5,000원//푸딩:4,000원//맛차 갸또 쇼콜라:6,000원/",월-금: 15:00 - 22:00 토-일: 13:00 - 22:00,4.3,138,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/104601_1490349745059944.jpg,"케이크, 푸딩, 티, 커피, 말"
6,비로소커피,,서울시 마포구 신수동 85-19,02-712-9030,카페 / 디저트,아메리카노,"4,000원","아메리카노:4,000원//콜드브루:5,000원//플랫화이트:4,500원//카푸치노:4,500원//신수동블루스(아인슈페너):5,500원//",10:00 - 22:00,4.2,62,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/565213_1466144085926374.jpg,"커피, 콩, 라테, 경의, 카페"
7,조용한저녁,,서울시 마포구 창전동 2-31,010-8454-4540,패밀리 레스토랑,타페나드 부르스케타,"3,500원","타페나드 부르스케타:3,500원//로메스코 쉬림프:10,000원//바질페스토 파스타:19,500원//닭다리살구이:22,000원//",화-금: 17:00 - 24:00 토: 13:00 - 22:00,4.3,30,https://mp-seoul-image-production-s3.mangoplate.com/222823/180342_1511860963005_103067,"파스타, 와인, 알라노마, 버스케타, 페스토"
8,원스타 올드패션드 햄버거,,서울시 강남구 도곡동 424-11,02-578-4377,브런치 / 버거 / 샌드위치,원스타 디럭스,"9,200원","원스타 디럭스:9,200원//치즈버거:7,500원//B.L.T.:8,700원//B.E.L.T:9,500원//프렌치 프라이즈:5,500원//",11:30 - 21:00,4.4,44,https://mp-seoul-image-production-s3.mangoplate.com/343656/1183128_1600160136687_91149,"패티, 멜츠, 버거, 수제, 살티"
9,담택,,서울시 마포구 서교동 381-22 1F,02-336-0974,라멘 / 소바 / 우동,시오라멘,"8,000원","시오라멘:8,000원//유자시오라멘:8,500원//레몬시오라멘:8,500원//와사비라멘:9,500원//",11:30 - 유동적,4.3,34,https://mp-seoul-image-production-s3.mangoplate.com/378200/887649_1598748779268_50861,"시오라멘, 시트론, 라멘, 시오라멘, 레몬"
10,폼프리츠,,서울시 성동구 행당동 16-53,010-5141-8400,브런치 / 버거 / 샌드위치,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,17:00 - 03:00,3.8,18,https://mp-seoul-image-production-s3.mangoplate.com/49083/372e20f5e3ff.jpg,"맥주, 프라이, 프라이, 한양, 퐁프리츠"
11,커피식탁,,서울시 성동구 성수동1가 656-1096,02-499-9029,카페 / 디저트,에스프레소,2500,"에스프레소:2,500원//아메리카노:3,000원//카페라떼:3,500원//당근이지:5,000원//무뚝뚝얼그레이씨:5,000원/",월-금: 08:00 - 20:00 토: 12:00 - 18:00,3.9,32,https://mp-seoul-image-production-s3.mangoplate.com/463989_1582301175376697.jpg,"케이크, 카페, 커피, 카롯, 에르그레이"
12,카페 원오프,,서울시 성북구 동선동2가 128 2F,070-8770-2033,카페 / 디저트,o/o coffee,"6,500원","o/o coffee:6,500원//아몬드멜로우라떼:6,500원//바질토마토에이드:6,500원//베리에이드:6,000원//오미자에에드:6,000원//",화-금: 12:00 - 21:00 토-일: 12:00 - 19:00,3.8,8,https://mp-seoul-image-production-s3.mangoplate.com/352574/1245155_1587562091341_206382,"디저트, 쿠키, 크럼블, 디저트, 바실"
13,피알디,,서울시 성북구 동선동4가 127 휴림 빌딩 1F,010-6720-1378,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월-금: 11:00 - 22:00 토-일: 11:00 - 23:00,3.5,4,https://mp-seoul-image-production-s3.mangoplate.com/777980_1598081942697494.jpg,"늦은 시간, 푸치, 맥콜, 피츠, 미러"
14,송쉐프,,서울시 강남구 신사동 507-11,02-546-1178,정통 중식 / 일반 중식,난자완스,"35,000원","난자완스:35,000원//게살볶음:60,000원//삼선볶음밥:8,000원//잡채볶음밥:10,000원//모듬야채:30,000원//",11:30 - 21:30,4.4,132,https://mp-seoul-image-production-s3.mangoplate.com/331694/501143_1502736790687_14651,"생선, 소르, 돼지고기, 달콤하고 튀긴"
15,Tea and Proof,,서울시 강남구 도곡동 454,"
칵테일 / 와인
",업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,4.4,8,https://mp-seoul-image-production-s3.mangoplate.com/1601255_1599052542136378.jpg,"칵테일, 호지, 바텐더, 칵테일, 바"
16,하카타나카,,서울시 마포구 서교동 346-36,02-332-3207,정통 일식 / 일반 일식,Mr.다나카 정식,15500,"Mr.다나카 정식:15,500원//치킨난반 정식:9,800원//미소가지 정식:12,800원//하카타나카정식:13,800원/",11:30 - 22:00,4.3,137,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/71016_1447830976274.jpg,"일본, 하카타나카, 치킨, 맛있는 음식"
